buggy_B2,buggy_AG,buggy_MA,buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp,commit_date
buggy,clean,clean,clean,1.6094379124341005,3.688879454113936,5.247024072160486,2.0050535023572595,10.48768444858769,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2010-03-19 12:43:33-07:00
buggy,clean,clean,clean,1.3862943611198906,1.9459101490553128,2.833213344056216,1.3671545654915906,6.269096283706261,3.218875824868201,4.560869927091511,0,0.6931471805599453,0.5978370007556204,0.6931471805599453,0.0,0.0,0.6931471805599453,2010-03-20 12:50:51-07:00
clean,clean,clean,clean,0.6931471805599453,0.6931471805599453,1.0986122886681098,0.0989713704211965,4.634728988229636,4.77912349311153,4.941642422609304,1,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,0.0,1.0986122886681098,2010-03-21 13:06:12-07:00
buggy,buggy,buggy,buggy,1.0986122886681098,1.9459101490553128,2.6390573296152584,1.2868588610040248,6.16541785423142,3.4011973816621555,5.36992220848364,0,1.3862943611198906,1.6625477377480486,1.0986122886681098,0.0,0.0,1.3862943611198906,2010-03-27 00:24:03-07:00
clean,clean,buggy,buggy,0.6931471805599453,1.791759469228055,1.9459101490553128,1.07394935414384,4.672828834461906,2.3978952727983707,6.964450622658682,0,1.6094379124341005,1.791759469228055,1.3862943611198906,0.6931471805599453,0.6904633133464765,1.6094379124341005,2010-03-28 23:36:44-07:00
clean,clean,buggy,buggy,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,2.995732273553991,2.079441541679836,5.424950017481403,0,0.6931471805599453,0.0,0.6931471805599453,1.0986122886681098,1.095616394233321,1.791759469228055,2010-03-29 15:33:15-07:00
clean,buggy,buggy,buggy,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,4.812184355372417,4.564348191467836,5.476463551931511,0,0.6931471805599453,0.0,0.6931471805599453,1.3862943611198906,1.383573578432581,1.9459101490553128,2010-03-29 21:07:18-07:00
buggy,buggy,buggy,buggy,1.0986122886681098,1.3862943611198906,1.3862943611198906,0.0795884305944489,5.75890177387728,2.772588722239781,6.808487277323468,0,1.0986122886681098,0.9162907318741552,1.0986122886681098,1.6094379124341005,1.6054171129152437,2.079441541679836,2010-03-30 17:24:57-07:00
buggy,buggy,buggy,buggy,0.6931471805599453,1.0986122886681098,1.0986122886681098,0.1727525495485679,4.394449154672439,3.218875824868201,6.1092475827643655,0,1.0986122886681098,1.8718021769015916,1.0986122886681098,1.791759469228055,1.7878081670089068,2.19722457733622,2010-03-30 23:46:26-07:00
buggy,buggy,buggy,buggy,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,3.4657359027997265,2.4849066497880004,6.09807428216624,1,0.6931471805599453,0.0,0.6931471805599453,1.9459101490553128,1.9407942584283844,2.302585092994046,2010-03-31 17:33:18-07:00
